ISIN,BSE,Company,NSE,Sector,Industry,Link
INE870D01012,523630,NFL,NFL,FERTILISERS,FERTILISERS & PESTICIDES,/india/stockpricequote/fertilisers/nationalfertilizers/NF06
INE027A01015,524230,Rashtriya Chem,RCF,FERTILISERS,FERTILISERS & PESTICIDES,/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01
INE435G01025,507717,Dhanuka Agritec,DHANUKA,PESTICIDES,FERTILISERS & PESTICIDES,/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01
INE274B01011,524084,Monsanto India,MONSANTO,PESTICIDES,FERTILISERS & PESTICIDES,/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39
INE603J01030,523642,PI Industries,PIIND,PESTICIDES,FERTILISERS & PESTICIDES,/india/stockpricequote/pesticidesagrochemicals/piindustries/PII
INE613A01020,500355,Rallis India,RALLIS,PESTICIDES,FERTILISERS & PESTICIDES,/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03
INE221J01015,538666,Sharda Crop,SHARDACROP,PESTICIDES,FERTILISERS & PESTICIDES,/india/stockpricequote/pesticidesagrochemicals/insecticidesindia/SC04
INE126A01031,500125,EID Parry,EIDPARRY,SUGAR,FERTILISERS & PESTICIDES,/india/stockpricequote/sugar/eidparryindia/EID
INE238A01034,532215,Axis Bank,AXISBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/axisbank/AB16
INE028A01039,532134,Bank of Baroda,BANKBARODA,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/bankofbaroda/BOB
INE476A01014,532483,Canara Bank,CANBK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/canarabank/CB06
INE491A01021,532210,City Union Bank,CUB,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/cityunionbank/CUB
INE503A01015,532772,DCB Bank,DCBBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/developmentcreditbank/DCB01
INE171A01029,500469,Federal Bank,FEDERALBNK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/federalbank/FB
INE040A01026,500180,HDFC Bank,HDFCBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
INE090A01021,532174,ICICI Bank,ICICIBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/icicibank/ICI02
INE092T01019,539437,IDFC Bank,IDFCBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/yesbank/IDF01
INE562A01011,532814,Indian Bank,INDIANB,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/indianbank/IB04
INE095A01012,532187,IndusInd Bank,INDUSINDBK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/indusindbank/IIB
INE036D01028,590003,Karur Vysya,KARURVYSYA,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/karurvysyabank/KVB
INE237A01028,500247,Kotak Mahindra,KOTAKBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
INE614B01018,532652,Karnataka Bank,KTKBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/karnatakabank/KB04
INE694C01018,534690,Lakshmi Vilas,LAKSHVILAS,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/lakshmivilasbank/LVB
INE160A01022,532461,PNB,PNB,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05
INE976G01028,540065,RBL Bank,RBLBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/axisbank/RB03
INE062A01020,500112,SBI,SBIN,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/statebankindia/SBI
INE683A01023,532218,South Ind Bk,SOUTHBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/southindianbank/SIB
